vtx-F04-n52-n5-n3	Δ = -52	bi.bi = -5	b0.bi = -3	
vtx-F04-416-31-21	Δ = 416	bi.bi = 31	b0.bi = 21	6 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-416-34-22	Δ = 416	bi.bi = 34	b0.bi = 22	4 x (irr-F4-26) + 7 x (irr-F4-52)
vtx-F04-416-37-23	Δ = 416	bi.bi = 37	b0.bi = 23	2 x (irr-F4-26) + 8 x (irr-F4-52)
vtx-F04-416-40-24	Δ = 416	bi.bi = 40	b0.bi = 24	9 x (irr-F4-52)
vtx-F04-428-70-30	Δ = 428	bi.bi = 70	b0.bi = 30	6 x (irr-F4-26) + 1 x (irr-F4-324)
vtx-F04-428-73-31	Δ = 428	bi.bi = 73	b0.bi = 31	4 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-428-76-32	Δ = 428	bi.bi = 76	b0.bi = 32	2 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-428-79-33	Δ = 428	bi.bi = 79	b0.bi = 33	3 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-429-52-26	Δ = 429	bi.bi = 52	b0.bi = 26	8 x (irr-F4-26) + 1 x (irr-F4-273)
vtx-F04-429-55-27	Δ = 429	bi.bi = 55	b0.bi = 27	6 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-429-58-28	Δ = 429	bi.bi = 58	b0.bi = 28	4 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-429-61-29	Δ = 429	bi.bi = 61	b0.bi = 29	2 x (irr-F4-26) + 3 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-429-64-30	Δ = 429	bi.bi = 64	b0.bi = 30	4 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-442-14-16	Δ = 442	bi.bi = 14	b0.bi = 16	19 x (irr-F4-26)
vtx-F04-442-17-17	Δ = 442	bi.bi = 17	b0.bi = 17	17 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-442-20-18	Δ = 442	bi.bi = 20	b0.bi = 18	15 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-442-23-19	Δ = 442	bi.bi = 23	b0.bi = 19	13 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-442-26-20	Δ = 442	bi.bi = 26	b0.bi = 20	11 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-442-29-21	Δ = 442	bi.bi = 29	b0.bi = 21	9 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-442-32-22	Δ = 442	bi.bi = 32	b0.bi = 22	7 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-442-35-23	Δ = 442	bi.bi = 35	b0.bi = 23	5 x (irr-F4-26) + 7 x (irr-F4-52)
vtx-F04-442-38-24	Δ = 442	bi.bi = 38	b0.bi = 24	3 x (irr-F4-26) + 8 x (irr-F4-52)
