vtx-D06-n18-n4-n2	Δ = -18	bi.bi = -4	b0.bi = -2	4 x (irr-D6-12)
vtx-D06-742-46-32-a	Δ = 742	bi.bi = 46	b0.bi = 32	25 x (irr-D6-12) + 18 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-742-46-32-b	Δ = 742	bi.bi = 46	b0.bi = 32	22 x (irr-D6-12) + 23 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-743-33-29	Δ = 743	bi.bi = 33	b0.bi = 29	17 x (irr-D6-12) + 33 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-744-40-32	Δ = 744	bi.bi = 40	b0.bi = 32	8 x (irr-D6-12) + 24 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-744-79-43-a	Δ = 744	bi.bi = 79	b0.bi = 43	2 x (irr-D6-12) + 12 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-744-79-43-b	Δ = 744	bi.bi = 79	b0.bi = 43	5 x (irr-D6-12) + 7 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-745-120-52	Δ = 745	bi.bi = 120	b0.bi = 52	8 x (irr-D6-12) + 1 x (irr-D6-66) + 2 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-746-30-28	Δ = 746	bi.bi = 30	b0.bi = 28	22 x (irr-D6-12) + 26 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-746-69-39-a	Δ = 746	bi.bi = 69	b0.bi = 39	13 x (irr-D6-12) + 19 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-746-69-39-b	Δ = 746	bi.bi = 69	b0.bi = 39	16 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-746-69-39-c	Δ = 746	bi.bi = 69	b0.bi = 39	19 x (irr-D6-12) + 9 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-747-56-36-a	Δ = 747	bi.bi = 56	b0.bi = 36	11 x (irr-D6-12) + 24 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-747-56-36-b	Δ = 747	bi.bi = 56	b0.bi = 36	8 x (irr-D6-12) + 29 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-748-43-33	Δ = 748	bi.bi = 43	b0.bi = 33	3 x (irr-D6-12) + 39 x (irr-D6-32-h) + 2 x (irr-D6-77)
vtx-D06-748-63-39	Δ = 748	bi.bi = 63	b0.bi = 39	2 x (irr-D6-12) + 15 x (irr-D6-32-h) + 5 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-750-53-35-a	Δ = 750	bi.bi = 53	b0.bi = 35	16 x (irr-D6-12) + 17 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-750-53-35-b	Δ = 750	bi.bi = 53	b0.bi = 35	13 x (irr-D6-12) + 22 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-750-92-46-a	Δ = 750	bi.bi = 92	b0.bi = 46	13 x (irr-D6-12) + 3 x (irr-D6-220)
vtx-D06-750-92-46-b	Δ = 750	bi.bi = 92	b0.bi = 46	4 x (irr-D6-12) + 15 x (irr-D6-32-h) + 3 x (irr-D6-352a-h)
vtx-D06-750-92-46-c	Δ = 750	bi.bi = 92	b0.bi = 46	7 x (irr-D6-12) + 10 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-750-92-46-d	Δ = 750	bi.bi = 92	b0.bi = 46	10 x (irr-D6-12) + 5 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-751-40-32	Δ = 751	bi.bi = 40	b0.bi = 32	8 x (irr-D6-12) + 32 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-751-79-43-a	Δ = 751	bi.bi = 79	b0.bi = 43	5 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
vtx-D06-751-79-43-b	Δ = 751	bi.bi = 79	b0.bi = 43	2 x (irr-D6-12) + 20 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-754-37-31	Δ = 754	bi.bi = 37	b0.bi = 31	13 x (irr-D6-12) + 25 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-754-76-42-a	Δ = 754	bi.bi = 76	b0.bi = 42	10 x (irr-D6-12) + 8 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-754-76-42-b	Δ = 754	bi.bi = 76	b0.bi = 42	4 x (irr-D6-12) + 18 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-754-76-42-c	Δ = 754	bi.bi = 76	b0.bi = 42	7 x (irr-D6-12) + 13 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-754-115-53	Δ = 754	bi.bi = 115	b0.bi = 53	1 x (irr-D6-12) + 1 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-755-63-39	Δ = 755	bi.bi = 63	b0.bi = 39	2 x (irr-D6-12) + 23 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-755-117-51	Δ = 755	bi.bi = 117	b0.bi = 51	13 x (irr-D6-12) + 1 x (irr-D6-32-h) + 2 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-756-27-27	Δ = 756	bi.bi = 27	b0.bi = 27	27 x (irr-D6-12) + 27 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-758-60-38-a	Δ = 758	bi.bi = 60	b0.bi = 38	4 x (irr-D6-12) + 21 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-758-60-38-b	Δ = 758	bi.bi = 60	b0.bi = 38	7 x (irr-D6-12) + 16 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-758-99-49	Δ = 758	bi.bi = 99	b0.bi = 49	1 x (irr-D6-12) + 4 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-760-50-34-a	Δ = 760	bi.bi = 50	b0.bi = 34	21 x (irr-D6-12) + 18 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-760-50-34-b	Δ = 760	bi.bi = 50	b0.bi = 34	18 x (irr-D6-12) + 23 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-761-37-31	Δ = 761	bi.bi = 37	b0.bi = 31	13 x (irr-D6-12) + 33 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-762-44-34	Δ = 762	bi.bi = 44	b0.bi = 34	4 x (irr-D6-12) + 24 x (irr-D6-32-h) + 6 x (irr-D6-66)
vtx-D06-762-83-45	Δ = 762	bi.bi = 83	b0.bi = 45	1 x (irr-D6-12) + 7 x (irr-D6-32-h) + 4 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-763-124-54	Δ = 763	bi.bi = 124	b0.bi = 54	4 x (irr-D6-12) + 2 x (irr-D6-66) + 2 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-764-34-30	Δ = 764	bi.bi = 34	b0.bi = 30	18 x (irr-D6-12) + 26 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-764-73-41-a	Δ = 764	bi.bi = 73	b0.bi = 41	9 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-764-73-41-b	Δ = 764	bi.bi = 73	b0.bi = 41	15 x (irr-D6-12) + 9 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-764-73-41-c	Δ = 764	bi.bi = 73	b0.bi = 41	12 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-765-60-38-a	Δ = 765	bi.bi = 60	b0.bi = 38	7 x (irr-D6-12) + 24 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-765-60-38-b	Δ = 765	bi.bi = 60	b0.bi = 38	4 x (irr-D6-12) + 29 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-766-24-26	Δ = 766	bi.bi = 24	b0.bi = 26	32 x (irr-D6-12) + 28 x (irr-D6-32-h)
vtx-D06-768-57-37-a	Δ = 768	bi.bi = 57	b0.bi = 37	9 x (irr-D6-12) + 22 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-768-57-37-b	Δ = 768	bi.bi = 57	b0.bi = 37	12 x (irr-D6-12) + 17 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-768-96-48-a	Δ = 768	bi.bi = 96	b0.bi = 48	15 x (irr-D6-32-h) + 1 x (irr-D6-66) + 3 x (irr-D6-352a-h)
vtx-D06-768-96-48-b	Δ = 768	bi.bi = 96	b0.bi = 48	3 x (irr-D6-12) + 10 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-768-96-48-c	Δ = 768	bi.bi = 96	b0.bi = 48	9 x (irr-D6-12) + 1 x (irr-D6-66) + 3 x (irr-D6-220)
vtx-D06-768-96-48-d	Δ = 768	bi.bi = 96	b0.bi = 48	6 x (irr-D6-12) + 5 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-769-44-34	Δ = 769	bi.bi = 44	b0.bi = 34	4 x (irr-D6-12) + 32 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-769-83-45	Δ = 769	bi.bi = 83	b0.bi = 45	1 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
vtx-D06-770-47-33-a	Δ = 770	bi.bi = 47	b0.bi = 33	26 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-770-47-33-b	Δ = 770	bi.bi = 47	b0.bi = 33	23 x (irr-D6-12) + 24 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-771-34-30	Δ = 771	bi.bi = 34	b0.bi = 30	18 x (irr-D6-12) + 34 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-772-41-33	Δ = 772	bi.bi = 41	b0.bi = 33	9 x (irr-D6-12) + 25 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-772-80-44-a	Δ = 772	bi.bi = 80	b0.bi = 44	3 x (irr-D6-12) + 13 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-772-80-44-b	Δ = 772	bi.bi = 80	b0.bi = 44	18 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-772-80-44-c	Δ = 772	bi.bi = 80	b0.bi = 44	6 x (irr-D6-12) + 8 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-773-121-53	Δ = 773	bi.bi = 121	b0.bi = 53	9 x (irr-D6-12) + 1 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-774-31-29	Δ = 774	bi.bi = 31	b0.bi = 29	23 x (irr-D6-12) + 27 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-774-70-40-a	Δ = 774	bi.bi = 70	b0.bi = 40	20 x (irr-D6-12) + 10 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-774-70-40-b	Δ = 774	bi.bi = 70	b0.bi = 40	14 x (irr-D6-12) + 20 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-774-70-40-c	Δ = 774	bi.bi = 70	b0.bi = 40	17 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-775-57-37-a	Δ = 775	bi.bi = 57	b0.bi = 37	12 x (irr-D6-12) + 25 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-775-57-37-b	Δ = 775	bi.bi = 57	b0.bi = 37	9 x (irr-D6-12) + 30 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-776-44-34	Δ = 776	bi.bi = 44	b0.bi = 34	4 x (irr-D6-12) + 40 x (irr-D6-32-h) + 2 x (irr-D6-77)
vtx-D06-776-64-40-a	Δ = 776	bi.bi = 64	b0.bi = 40	21 x (irr-D6-32-h) + 5 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-776-64-40-b	Δ = 776	bi.bi = 64	b0.bi = 40	3 x (irr-D6-12) + 16 x (irr-D6-32-h) + 5 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-778-54-36-a	Δ = 778	bi.bi = 54	b0.bi = 36	14 x (irr-D6-12) + 23 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-778-54-36-b	Δ = 778	bi.bi = 54	b0.bi = 36	17 x (irr-D6-12) + 18 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-778-93-47-a	Δ = 778	bi.bi = 93	b0.bi = 47	11 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-778-93-47-b	Δ = 778	bi.bi = 93	b0.bi = 47	14 x (irr-D6-12) + 1 x (irr-D6-32-h) + 3 x (irr-D6-220)
vtx-D06-778-93-47-c	Δ = 778	bi.bi = 93	b0.bi = 47	5 x (irr-D6-12) + 16 x (irr-D6-32-h) + 3 x (irr-D6-352a-h)
vtx-D06-778-93-47-d	Δ = 778	bi.bi = 93	b0.bi = 47	8 x (irr-D6-12) + 11 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-779-41-33	Δ = 779	bi.bi = 41	b0.bi = 33	9 x (irr-D6-12) + 33 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-779-80-44-a	Δ = 779	bi.bi = 80	b0.bi = 44	6 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
vtx-D06-779-80-44-b	Δ = 779	bi.bi = 80	b0.bi = 44	3 x (irr-D6-12) + 21 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-779-80-44-c	Δ = 779	bi.bi = 80	b0.bi = 44	26 x (irr-D6-32-h) + 1 x (irr-D6-77) + 2 x (irr-D6-352a-h)
vtx-D06-780-48-36	Δ = 780	bi.bi = 48	b0.bi = 36	24 x (irr-D6-32-h) + 7 x (irr-D6-66)
vtx-D06-781-128-56	Δ = 781	bi.bi = 128	b0.bi = 56	3 x (irr-D6-66) + 2 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-782-38-32	Δ = 782	bi.bi = 38	b0.bi = 32	14 x (irr-D6-12) + 26 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-782-77-43-a	Δ = 782	bi.bi = 77	b0.bi = 43	11 x (irr-D6-12) + 9 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-782-77-43-b	Δ = 782	bi.bi = 77	b0.bi = 43	5 x (irr-D6-12) + 19 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-782-77-43-c	Δ = 782	bi.bi = 77	b0.bi = 43	8 x (irr-D6-12) + 14 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-782-116-54	Δ = 782	bi.bi = 116	b0.bi = 54	2 x (irr-D6-12) + 2 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-783-64-40-a	Δ = 783	bi.bi = 64	b0.bi = 40	29 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-783-64-40-b	Δ = 783	bi.bi = 64	b0.bi = 40	3 x (irr-D6-12) + 24 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-783-103-51	Δ = 783	bi.bi = 103	b0.bi = 51	7 x (irr-D6-32-h) + 1 x (irr-D6-77) + 3 x (irr-D6-220)
vtx-D06-783-118-52	Δ = 783	bi.bi = 118	b0.bi = 52	14 x (irr-D6-12) + 2 x (irr-D6-32-h) + 2 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-784-28-28	Δ = 784	bi.bi = 28	b0.bi = 28	28 x (irr-D6-12) + 28 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-786-61-39-a	Δ = 786	bi.bi = 61	b0.bi = 39	5 x (irr-D6-12) + 22 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-786-61-39-b	Δ = 786	bi.bi = 61	b0.bi = 39	8 x (irr-D6-12) + 17 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-786-100-50-a	Δ = 786	bi.bi = 100	b0.bi = 50	2 x (irr-D6-12) + 5 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-786-100-50-b	Δ = 786	bi.bi = 100	b0.bi = 50	5 x (irr-D6-12) + 2 x (irr-D6-66) + 3 x (irr-D6-220)
vtx-D06-787-48-36	Δ = 787	bi.bi = 48	b0.bi = 36	32 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-788-51-35-a	Δ = 788	bi.bi = 51	b0.bi = 35	22 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-788-51-35-b	Δ = 788	bi.bi = 51	b0.bi = 35	19 x (irr-D6-12) + 24 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-788-128-56	Δ = 788	bi.bi = 128	b0.bi = 56	8 x (irr-D6-32-h) + 3 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-789-38-32	Δ = 789	bi.bi = 38	b0.bi = 32	14 x (irr-D6-12) + 34 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-790-45-35	Δ = 790	bi.bi = 45	b0.bi = 35	5 x (irr-D6-12) + 25 x (irr-D6-32-h) + 6 x (irr-D6-66)
vtx-D06-790-84-46	Δ = 790	bi.bi = 84	b0.bi = 46	2 x (irr-D6-12) + 8 x (irr-D6-32-h) + 4 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-791-125-55	Δ = 791	bi.bi = 125	b0.bi = 55	5 x (irr-D6-12) + 1 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-792-35-31	Δ = 792	bi.bi = 35	b0.bi = 31	19 x (irr-D6-12) + 27 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-792-74-42-a	Δ = 792	bi.bi = 74	b0.bi = 42	16 x (irr-D6-12) + 10 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-792-74-42-b	Δ = 792	bi.bi = 74	b0.bi = 42	10 x (irr-D6-12) + 20 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-792-74-42-c	Δ = 792	bi.bi = 74	b0.bi = 42	13 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-793-61-39-a	Δ = 793	bi.bi = 61	b0.bi = 39	5 x (irr-D6-12) + 30 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-793-61-39-b	Δ = 793	bi.bi = 61	b0.bi = 39	8 x (irr-D6-12) + 25 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-794-25-27	Δ = 794	bi.bi = 25	b0.bi = 27	33 x (irr-D6-12) + 29 x (irr-D6-32-h)
vtx-D06-794-48-36	Δ = 794	bi.bi = 48	b0.bi = 36	40 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-77)
vtx-D06-796-58-38-a	Δ = 796	bi.bi = 58	b0.bi = 38	10 x (irr-D6-12) + 23 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-796-58-38-b	Δ = 796	bi.bi = 58	b0.bi = 38	13 x (irr-D6-12) + 18 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-796-97-49-a	Δ = 796	bi.bi = 97	b0.bi = 49	1 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-66) + 3 x (irr-D6-352a-h)
vtx-D06-796-97-49-b	Δ = 796	bi.bi = 97	b0.bi = 49	10 x (irr-D6-12) + 1 x (irr-D6-32-h) + 1 x (irr-D6-66) + 3 x (irr-D6-220)
vtx-D06-796-97-49-c	Δ = 796	bi.bi = 97	b0.bi = 49	4 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-796-97-49-d	Δ = 796	bi.bi = 97	b0.bi = 49	7 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-797-45-35	Δ = 797	bi.bi = 45	b0.bi = 35	5 x (irr-D6-12) + 33 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-797-84-46	Δ = 797	bi.bi = 84	b0.bi = 46	2 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
vtx-D06-798-48-34-a	Δ = 798	bi.bi = 48	b0.bi = 34	27 x (irr-D6-12) + 20 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-798-48-34-b	Δ = 798	bi.bi = 48	b0.bi = 34	24 x (irr-D6-12) + 25 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-799-35-31	Δ = 799	bi.bi = 35	b0.bi = 31	19 x (irr-D6-12) + 35 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-800-42-34	Δ = 800	bi.bi = 42	b0.bi = 34	10 x (irr-D6-12) + 26 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-800-81-45-a	Δ = 800	bi.bi = 81	b0.bi = 45	1 x (irr-D6-12) + 19 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-800-81-45-b	Δ = 800	bi.bi = 81	b0.bi = 45	7 x (irr-D6-12) + 9 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-800-81-45-c	Δ = 800	bi.bi = 81	b0.bi = 45	4 x (irr-D6-12) + 14 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-800-152-60	Δ = 800	bi.bi = 152	b0.bi = 60	8 x (irr-D6-12) + 4 x (irr-D6-77) + 1 x (irr-D6-462)
vtx-D06-801-122-54	Δ = 801	bi.bi = 122	b0.bi = 54	10 x (irr-D6-12) + 2 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-802-32-30	Δ = 802	bi.bi = 32	b0.bi = 30	24 x (irr-D6-12) + 28 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-802-71-41-a	Δ = 802	bi.bi = 71	b0.bi = 41	21 x (irr-D6-12) + 11 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-802-71-41-b	Δ = 802	bi.bi = 71	b0.bi = 41	15 x (irr-D6-12) + 21 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-802-71-41-c	Δ = 802	bi.bi = 71	b0.bi = 41	18 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-803-58-38-a	Δ = 803	bi.bi = 58	b0.bi = 38	13 x (irr-D6-12) + 26 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-803-58-38-b	Δ = 803	bi.bi = 58	b0.bi = 38	10 x (irr-D6-12) + 31 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-804-45-35	Δ = 804	bi.bi = 45	b0.bi = 35	5 x (irr-D6-12) + 41 x (irr-D6-32-h) + 2 x (irr-D6-77)
vtx-D06-804-65-41-a	Δ = 804	bi.bi = 65	b0.bi = 41	1 x (irr-D6-12) + 22 x (irr-D6-32-h) + 5 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-804-65-41-b	Δ = 804	bi.bi = 65	b0.bi = 41	4 x (irr-D6-12) + 17 x (irr-D6-32-h) + 5 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-804-104-52	Δ = 804	bi.bi = 104	b0.bi = 52	1 x (irr-D6-12) + 3 x (irr-D6-66) + 3 x (irr-D6-220)
vtx-D06-806-55-37-a	Δ = 806	bi.bi = 55	b0.bi = 37	15 x (irr-D6-12) + 24 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-806-55-37-b	Δ = 806	bi.bi = 55	b0.bi = 37	18 x (irr-D6-12) + 19 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-806-94-48-a	Δ = 806	bi.bi = 94	b0.bi = 48	15 x (irr-D6-12) + 2 x (irr-D6-32-h) + 3 x (irr-D6-220)
vtx-D06-806-94-48-b	Δ = 806	bi.bi = 94	b0.bi = 48	12 x (irr-D6-12) + 7 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-806-94-48-c	Δ = 806	bi.bi = 94	b0.bi = 48	6 x (irr-D6-12) + 17 x (irr-D6-32-h) + 3 x (irr-D6-352a-h)
