vtx-C02-266-100-30-b	Δ = 266	bi.bi = 100	b0.bi = 30	1 x (irr-C2-4) + 6 x (irr-C2-5) + 9 x (irr-C2-16-h) + 15 x (irr-C2-10) + 1 x (irr-C2-40-h)
vtx-C02-266-121-33-a	Δ = 266	bi.bi = 121	b0.bi = 33	1 x (irr-C2-4) + 9 x (irr-C2-5) + 11 x (irr-C2-16-h) + 7 x (irr-C2-10) + 1 x (irr-C2-14) + 1 x (irr-C2-20) + 1 x (irr-C2-35a)
vtx-C02-266-121-33-b	Δ = 266	bi.bi = 121	b0.bi = 33	5 x (irr-C2-4) + 5 x (irr-C2-5) + 17 x (irr-C2-16-h) + 4 x (irr-C2-10) + 1 x (irr-C2-20) + 1 x (irr-C2-35a)
vtx-C02-266-121-33-c	Δ = 266	bi.bi = 121	b0.bi = 33	4 x (irr-C2-4) + 15 x (irr-C2-16-h) + 10 x (irr-C2-10) + 1 x (irr-C2-20) + 1 x (irr-C2-40-h)
vtx-C02-266-121-33-d	Δ = 266	bi.bi = 121	b0.bi = 33	4 x (irr-C2-5) + 9 x (irr-C2-16-h) + 13 x (irr-C2-10) + 1 x (irr-C2-14) + 1 x (irr-C2-20) + 1 x (irr-C2-40-h)
vtx-C02-266-196-42	Δ = 266	bi.bi = 196	b0.bi = 42	2 x (irr-C2-4) + 2 x (irr-C2-5) + 11 x (irr-C2-16-h) + 3 x (irr-C2-10) + 4 x (irr-C2-35a)
vtx-C02-266-225-45-a	Δ = 266	bi.bi = 225	b0.bi = 45	1 x (irr-C2-4) + 2 x (irr-C2-5) + 9 x (irr-C2-16-h) + 2 x (irr-C2-10) + 3 x (irr-C2-20) + 2 x (irr-C2-40-h) + 2 x (irr-C2-35a)
vtx-C02-266-225-45-b	Δ = 266	bi.bi = 225	b0.bi = 45	1 x (irr-C2-4) + 3 x (irr-C2-5) + 2 x (irr-C2-16-h) + 2 x (irr-C2-10) + 9 x (irr-C2-14) + 3 x (irr-C2-20) + 1 x (irr-C2-35b)
vtx-C02-266-289-51-a	Δ = 266	bi.bi = 289	b0.bi = 51	2 x (irr-C2-5) + 9 x (irr-C2-16-h) + 1 x (irr-C2-14) + 2 x (irr-C2-40-h) + 3 x (irr-C2-35a) + 1 x (irr-C2-35b)
vtx-C02-266-289-51-b	Δ = 266	bi.bi = 289	b0.bi = 51	3 x (irr-C2-5) + 2 x (irr-C2-16-h) + 10 x (irr-C2-14) + 1 x (irr-C2-35a) + 2 x (irr-C2-35b)
vtx-C02-266-361-57	Δ = 266	bi.bi = 361	b0.bi = 57	2 x (irr-C2-16-h) + 9 x (irr-C2-14) + 2 x (irr-C2-64-h) + 1 x (irr-C2-35a) + 1 x (irr-C2-35b)
vtx-C02-267-36-18-a	Δ = 267	bi.bi = 36	b0.bi = 18	32 x (irr-C2-4) + 13 x (irr-C2-5) + 7 x (irr-C2-10) + 1 x (irr-C2-14)
vtx-C02-267-36-18-b	Δ = 267	bi.bi = 36	b0.bi = 18	36 x (irr-C2-4) + 9 x (irr-C2-5) + 6 x (irr-C2-16-h) + 4 x (irr-C2-10)
vtx-C02-267-81-27	Δ = 267	bi.bi = 81	b0.bi = 27	27 x (irr-C2-5) + 9 x (irr-C2-16-h) + 3 x (irr-C2-10) + 2 x (irr-C2-20)
vtx-C02-267-121-33	Δ = 267	bi.bi = 121	b0.bi = 33	4 x (irr-C2-4) + 17 x (irr-C2-10) + 4 x (irr-C2-14) + 1 x (irr-C2-35a)
vtx-C02-267-169-39	Δ = 267	bi.bi = 169	b0.bi = 39	2 x (irr-C2-4) + 2 x (irr-C2-5) + 13 x (irr-C2-16-h) + 5 x (irr-C2-10) + 3 x (irr-C2-35a)
vtx-C02-267-225-45	Δ = 267	bi.bi = 225	b0.bi = 45	6 x (irr-C2-4) + 3 x (irr-C2-5) + 2 x (irr-C2-16-h) + 3 x (irr-C2-14) + 2 x (irr-C2-20) + 4 x (irr-C2-35a)
vtx-C02-267-256-48	Δ = 267	bi.bi = 256	b0.bi = 48	1 x (irr-C2-4) + 1 x (irr-C2-5) + 4 x (irr-C2-10) + 7 x (irr-C2-14) + 2 x (irr-C2-20) + 1 x (irr-C2-40-h) + 1 x (irr-C2-35a) + 1 x (irr-C2-35b)
vtx-C02-267-324-54	Δ = 267	bi.bi = 324	b0.bi = 54	2 x (irr-C2-4) + 2 x (irr-C2-16-h) + 1 x (irr-C2-10) + 7 x (irr-C2-14) + 2 x (irr-C2-40-h) + 1 x (irr-C2-35a) + 2 x (irr-C2-35b)
vtx-C02-268-64-24-a	Δ = 268	bi.bi = 64	b0.bi = 24	11 x (irr-C2-4) + 20 x (irr-C2-5) + 8 x (irr-C2-16-h) + 5 x (irr-C2-10) + 1 x (irr-C2-20)
vtx-C02-268-64-24-b	Δ = 268	bi.bi = 64	b0.bi = 24	7 x (irr-C2-4) + 24 x (irr-C2-5) + 2 x (irr-C2-16-h) + 8 x (irr-C2-10) + 1 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-268-81-27-a	Δ = 268	bi.bi = 81	b0.bi = 27	11 x (irr-C2-4) + 10 x (irr-C2-5) + 10 x (irr-C2-16-h) + 7 x (irr-C2-10) + 1 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-268-81-27-b	Δ = 268	bi.bi = 81	b0.bi = 27	7 x (irr-C2-4) + 14 x (irr-C2-5) + 4 x (irr-C2-16-h) + 10 x (irr-C2-10) + 2 x (irr-C2-14) + 1 x (irr-C2-20)
