vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-119-19-9	Δ = 119	bi.bi = 19	b0.bi = 9	7 x (irr-G2-7) + 6 x (irr-G2-14)
vtx-G02-119-27-11	Δ = 119	bi.bi = 27	b0.bi = 11	1 x (irr-G2-7) + 9 x (irr-G2-14)
vtx-G02-119-61-15	Δ = 119	bi.bi = 61	b0.bi = 15	4 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-119-80-16	Δ = 119	bi.bi = 80	b0.bi = 16	8 x (irr-G2-7) + 1 x (irr-G2-77a)
vtx-G02-119-88-18	Δ = 119	bi.bi = 88	b0.bi = 18	2 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-119-133-21	Δ = 119	bi.bi = 133	b0.bi = 21	4 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-120-56-14	Δ = 120	bi.bi = 56	b0.bi = 14	6 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-120-64-16	Δ = 120	bi.bi = 64	b0.bi = 16	5 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-122-34-12	Δ = 122	bi.bi = 34	b0.bi = 12	4 x (irr-G2-7) + 4 x (irr-G2-27)
vtx-G02-123-29-11	Δ = 123	bi.bi = 29	b0.bi = 11	6 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-123-37-13	Δ = 123	bi.bi = 37	b0.bi = 13	4 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-124-24-10	Δ = 124	bi.bi = 24	b0.bi = 10	8 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-124-32-12	Δ = 124	bi.bi = 32	b0.bi = 12	2 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-125-11-7	Δ = 125	bi.bi = 11	b0.bi = 7	16 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-125-19-9	Δ = 125	bi.bi = 19	b0.bi = 9	10 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27)
