vtx-C05-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-C5-55)
vtx-C05-495-20-18	Δ = 495	bi.bi = 20	b0.bi = 18	6 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-496-16-16	Δ = 496	bi.bi = 16	b0.bi = 16	10 x (irr-C5-10) + 4 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-110)
vtx-C05-496-19-17	Δ = 496	bi.bi = 19	b0.bi = 17	10 x (irr-C5-10) + 4 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-165)
vtx-C05-497-10-12	Δ = 497	bi.bi = 10	b0.bi = 12	31 x (irr-C5-10) + 4 x (irr-C5-44) + 1 x (irr-C5-132-h)
vtx-C05-497-26-20	Δ = 497	bi.bi = 26	b0.bi = 20	4 x (irr-C5-10) + 4 x (irr-C5-44) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-498-25-19	Δ = 498	bi.bi = 25	b0.bi = 19	14 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-320-h) + 1 x (irr-C5-165)
vtx-C05-499-18-16	Δ = 499	bi.bi = 18	b0.bi = 16	18 x (irr-C5-10) + 3 x (irr-C5-44) + 2 x (irr-C5-55) + 2 x (irr-C5-132-h)
vtx-C05-499-20-18	Δ = 499	bi.bi = 20	b0.bi = 18	7 x (irr-C5-10) + 1 x (irr-C5-44) + 2 x (irr-C5-55) + 3 x (irr-C5-110)
vtx-C05-499-23-19	Δ = 499	bi.bi = 23	b0.bi = 19	7 x (irr-C5-10) + 1 x (irr-C5-44) + 3 x (irr-C5-55) + 1 x (irr-C5-110) + 1 x (irr-C5-165)
vtx-C05-499-35-23	Δ = 499	bi.bi = 35	b0.bi = 23	7 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-220-h) + 2 x (irr-C5-165)
vtx-C05-500-14-14	Δ = 500	bi.bi = 14	b0.bi = 14	28 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-500-30-22	Δ = 500	bi.bi = 30	b0.bi = 22	1 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h) + 2 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-500-33-23	Δ = 500	bi.bi = 33	b0.bi = 23	1 x (irr-C5-10) + 1 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-320-h) + 1 x (irr-C5-165)
vtx-C05-501-24-18	Δ = 501	bi.bi = 24	b0.bi = 18	22 x (irr-C5-10) + 1 x (irr-C5-44) + 2 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-501-26-20	Δ = 501	bi.bi = 26	b0.bi = 20	5 x (irr-C5-10) + 2 x (irr-C5-44) + 4 x (irr-C5-55) + 3 x (irr-C5-132-h)
vtx-C05-501-35-23	Δ = 501	bi.bi = 35	b0.bi = 23	5 x (irr-C5-10) + 2 x (irr-C5-44) + 3 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-220-h)
