clq-(1,0)-(1,0)-226-426f9e95	[vtx-A04-226-9-9]	Δ = 226	Δ+28n = 226	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 27 x (irr-A4-5) + 10 x (irr-A4-10) + 1 x (irr-A4-15)
clq-(1,0)-(1,0)-227-de1b83fb	[vtx-C04-227-4-6]	Δ = 227	Δ+28n = 227	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 16 x (irr-C4-8) + 5 x (irr-C4-27)
clq-(1,0)-(1,0)-230-614fe74e	[vtx-C08-230-1-3]	Δ = 230	Δ+28n = 230	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 8 x (irr-C8-16) + 2 x (irr-C8-119)
clq-(1,0)-(1,0)-230-aa54b223	[vtx-A03-230-16-12]	Δ = 230	Δ+28n = 230	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[16]]	b0.bi = [12]	(1) : 32 x (irr-A3-4) + 12 x (irr-A3-6) + 3 x (irr-A3-15)
clq-(1,0)-(1,0)-230-a96fce24	[vtx-G02-230-16-12]	Δ = 230	Δ+28n = 230	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[16]]	b0.bi = [12]	(1) : 31 x (irr-G2-7) + 1 x (irr-G2-27)
clq-(1,0)-(1,0)-230-4e5097c0	[vtx-C02-230-25-15]	Δ = 230	Δ+28n = 230	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[25]]	b0.bi = [15]	(1) : 20 x (irr-C2-4) + 20 x (irr-C2-5) + 6 x (irr-C2-10)
clq-(1,0)-(1,0)-231-53ab4ca6	[vtx-A03-231-16-12]	Δ = 231	Δ+28n = 231	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[16]]	b0.bi = [12]	(1) : 32 x (irr-A3-4) + 13 x (irr-A3-6) + 1 x (irr-A3-10) + 2 x (irr-A3-15)
clq-(1,0)-(1,0)-232-91af872a	[vtx-A06-232-4-6]	Δ = 232	Δ+28n = 232	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 30 x (irr-A6-7) + 2 x (irr-A6-35)
clq-(1,0)-(1,0)-232-4b75ac5a	[vtx-A03-232-16-12]	Δ = 232	Δ+28n = 232	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[16]]	b0.bi = [12]	(1) : 32 x (irr-A3-4) + 14 x (irr-A3-6) + 2 x (irr-A3-10) + 1 x (irr-A3-15)
clq-(1,0)-(1,0)-232-f853bc37	[vtx-C02-232-16-12]	Δ = 232	Δ+28n = 232	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[16]]	b0.bi = [12]	(1) : 44 x (irr-C2-4) + 8 x (irr-C2-5) + 2 x (irr-C2-16-h) + 1 x (irr-C2-10)
clq-(1,0)-(1,0)-232-12663bd2	[vtx-C02-232-36-18]	Δ = 232	Δ+28n = 232	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[36]]	b0.bi = [18]	(1) : 6 x (irr-C2-4) + 24 x (irr-C2-5) + 1 x (irr-C2-16-h) + 9 x (irr-C2-10)
clq-(1,0)-(1,0)-233-1c80eb19	[vtx-A15-233-1-3]	Δ = 233	Δ+28n = 233	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 8 x (irr-A15-16) + 3 x (irr-A15-120)
clq-(1,0)-(1,0)-233-6f3811be	[vtx-A07-233-4-6]	Δ = 233	Δ+28n = 233	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 16 x (irr-A7-8) + 6 x (irr-A7-28)
clq-(1,0)-(1,0)-233-9f17928a	[vtx-D07-233-4-6]	Δ = 233	Δ+28n = 233	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 14 x (irr-D7-14) + 2 x (irr-D7-64)
clq-(1,0)-(1,0)-233-2fa278a6	[vtx-A03-233-16-12]	Δ = 233	Δ+28n = 233	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[16]]	b0.bi = [12]	(1) : 32 x (irr-A3-4) + 15 x (irr-A3-6) + 3 x (irr-A3-10)
clq-(1,0)-(1,0)-234-4222305f	[vtx-C03-234-9-9]	Δ = 234	Δ+28n = 234	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 18 x (irr-C3-6) + 9 x (irr-C3-14a) + 1 x (irr-C3-21)
clq-(1,0)-(1,0)-234-5cc33b87	[vtx-D05-234-9-9]	Δ = 234	Δ+28n = 234	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 9 x (irr-D5-10) + 9 x (irr-D5-16) + 1 x (irr-D5-45)
clq-(1,0)-(1,0)-234-2a3ba6fd	[vtx-F04-234-9-9]	Δ = 234	Δ+28n = 234	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 9 x (irr-F4-26) + 1 x (irr-F4-52)
clq-(1,0)-(1,0)-234-bf7fd76b	[vtx-C02-234-81-27]	Δ = 234	Δ+28n = 234	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[81]]	b0.bi = [27]	(1) : 18 x (irr-C2-16-h) + 10 x (irr-C2-10)
clq-(1,0)-(1,0)-237-a61e127e	[vtx-C04-237-4-6]	Δ = 237	Δ+28n = 237	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 21 x (irr-C4-8) + 1 x (irr-C4-48-h) + 3 x (irr-C4-27)
clq-(1,0)-(1,0)-237-09177688	[vtx-C02-237-25-15]	Δ = 237	Δ+28n = 237	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[25]]	b0.bi = [15]	(1) : 26 x (irr-C2-4) + 17 x (irr-C2-5) + 1 x (irr-C2-16-h) + 5 x (irr-C2-10)
clq-(1,0)-(1,0)-238-be91884e	[vtx-C03-238-9-9]	Δ = 238	Δ+28n = 238	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 21 x (irr-C3-6) + 7 x (irr-C3-14a) + 1 x (irr-C3-14b) + 1 x (irr-C3-21)
